Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
(2005 OH3),Amor Asteroid,57800,1.2398,0.1705,4.7467,186.9411,128.2296,137.4736,1.0284,1.45,1.38,0.0152,9,26
(2005 OK3),Amor Asteroid,57800,2.1444,0.5014,7.7177,189.3668,134.7557,239.9125,1.0692,3.22,3.14,0.059,19,21.5
(2005 PP),Amor Asteroid,57800,2.1896,0.4761,10.1586,358.2694,304.5439,204.5555,1.1472,3.23,3.24,0.1325,17,21.4
(2005 PH2),Apollo Asteroid,57800,1.4231,0.6042,5.7573,343.5022,96.4477,230.3397,0.5632,2.28,1.7,0.0907,24,20.4
(2005 PJ2),Apollo Asteroid (Hazard),57800,1.198,0.6594,17.4154,128.7995,326.521,225.1212,0.4081,1.99,1.31,0.0442,29,19.5
(2005 PA5),Amor Asteroid (Hazard),57800,1.3216,0.2268,15.328,149.0194,133.0748,233.9715,1.0219,1.62,1.52,0.0336,16,21.8
(2005 PX16),Amor Asteroid,57800,2.1802,0.4547,11.1074,199.6396,122.7163,206.3297,1.1888,3.17,3.22,0.1841,10,21.7
(2005 PA17),Apollo Asteroid,53596,2.3226,0.5754,2.5861,231.3527,126.4858,351.2725,0.9862,3.66,3.54,0.0224,5,24
(2005 QC),Apollo Asteroid,57800,1.8019,0.7724,13.7864,12.2098,79.9055,249.708,0.4101,3.19,2.42,0.2012,10,18.9
(2005 QL),Amor Asteroid,57800,2.444,0.5037,10.714,290.6362,105.0564,334.6847,1.2129,3.68,3.82,0.2892,25,18.7
(2005 QA5),Amor Asteroid,57800,1.3898,0.2112,6.8016,264.5429,93.357,346.0856,1.0962,1.68,1.64,0.1506,22,21.3
(2005 QB5),Apollo Asteroid,57800,1.1222,0.2517,13.6559,93.6003,149.982,297.5902,0.8397,1.4,1.19,0.0164,9,23.7
(2005 QS10),Amor Asteroid,57800,2.4187,0.4804,15.8056,229.8863,150.7971,5.9469,1.2566,3.58,3.76,0.3188,21,18.8
(2005 QN11),Amor Asteroid,57800,2.1752,0.4029,5.6275,135.2152,223.7448,202.5182,1.2989,3.05,3.21,0.3064,28,20
(2005 QO11),Amor Asteroid,57800,2.449,0.5097,45.1995,231.2911,163.0937,338.8588,1.2008,3.7,3.83,0.3363,22,19
(2005 QP11),Aten Asteroid,57800,0.9756,0.1757,3.9541,119.8624,334.84,224.3559,0.8042,1.15,0.96,0.0107,12,26.4
(2005 QQ11),Amor Asteroid,57800,2.1709,0.4529,5.1448,41.5709,337.4173,197.3175,1.1877,3.15,3.2,0.1993,16,22.4
(2005 QG30),Amor Asteroid,57800,1.5534,0.2125,7.0379,351.2281,341.0863,336.0431,1.2233,1.88,1.94,0.2146,17,22.2
(2005 QQ30),Apollo Asteroid,57800,1.7552,0.5452,11.2257,173.5714,67.8866,6.7477,0.7983,2.71,2.33,0.1615,15,19.9
(2005 QK76),Apollo Asteroid,53613,1.3968,0.5173,22.8559,266.0974,337.5896,36.2419,0.6743,2.12,1.65,0.0019,7,25.1
(2005 QL76),Amor Asteroid,57800,2.2126,0.4417,5.8976,54.3021,327.9111,162.7307,1.2352,3.19,3.29,0.2542,30,19.9
(2005 QP87),Apollo Asteroid,57800,1.2326,0.1752,0.2672,7.2086,327.608,136.3756,1.0167,1.45,1.37,0.0069,15,27.7
(2005 QQ87),Apollo Asteroid,57800,1.0004,0.3022,33.9632,54.6463,155.0357,258.9198,0.6981,1.3,1,0.0799,16,22.7
(2005 QR87),Amor Asteroid,57800,2.1375,0.4252,8.6074,346.0683,354.0918,243.9418,1.2286,3.05,3.13,0.2241,13,20.4
(2005 QF88),Amor Asteroid,57800,2.2553,0.4596,7.0176,176.3856,180.2605,134.399,1.2188,3.29,3.39,0.2154,20,20.7
(2005 QG88),Apollo Asteroid,57800,1.7283,0.4935,11.3176,273.3327,344.6664,51.0832,0.8755,2.58,2.27,0.0977,20,20.4
(2005 QX151),Amor Asteroid,57800,2.2968,0.4726,7.971,36.416,359.9209,88.5674,1.2113,3.38,3.48,0.2322,30,20.5
(2005 QZ151),Apollo Asteroid (Hazard),57800,1.9375,0.5799,4.8553,63.0239,20.8858,60.2295,0.814,3.06,2.7,0.0046,32,20.3
(2005 QR173),Amor Asteroid,57800,2.3851,0.5104,4.3352,77.98,246.4152,40.8851,1.1678,3.6,3.68,0.1753,14,20.4
(2005 QS176),Amor Asteroid,57800,2.2195,0.4748,8.4992,201.6393,174.9665,158.6559,1.1656,3.27,3.31,0.1734,11,21.6
(2005 RA),Apollo Asteroid,53616,2.5926,0.6661,4.4581,80.259,321.8976,349.6856,0.8658,4.32,4.17,0.0396,9,22.2
(2005 RB),Amor Asteroid,57800,2.1973,0.4731,17.7635,196.5914,170.9951,180.8131,1.1578,3.24,3.26,0.1642,19,20.2
(2005 RJ),Apollo Asteroid,57800,2.5783,0.6643,6.3268,255.3731,141.2506,265.4365,0.8656,4.29,4.14,0.0469,6,22.3
(2005 RD1),Amor Asteroid,57800,2.6381,0.5073,10.3716,8.395,279.6775,265.9176,1.2999,3.98,4.28,0.285,16,18.4
(2005 RZ2),Apollo Asteroid,57800,1.1067,0.1036,13.1612,280.1766,155.0022,216.9313,0.9921,1.22,1.16,0.0795,13,23.2
(2005 RA3),Apollo Asteroid,57800,1.4619,0.3266,6.7607,233.6815,176.1377,133.7411,0.9845,1.94,1.77,0.05,13,22.3
(2005 RB3),Aten Asteroid,57800,0.8776,0.3936,36.0825,320.4007,165.8535,225.544,0.5321,1.22,0.82,0.0494,9,22.6
(2005 RJ3),Amor Asteroid,57800,2.2902,0.5315,8.82,12.0987,345.891,104.696,1.073,3.51,3.47,0.0721,16,23.4
(2005 RK3),Apollo Asteroid,57800,1.2471,0.1851,3.7249,18.2818,342.6973,65.6315,1.0162,1.48,1.39,0.0156,30,23.7
(2005 RW3),Apollo Asteroid,57800,2.1064,0.6445,2.7018,219.6571,48.8883,281.8815,0.7487,3.46,3.06,0.0232,10,22.8
(2005 RX3),Apollo Asteroid,53621,1.5357,0.5323,16.8975,73.9563,0.3199,328.8731,0.7182,2.35,1.9,0.0245,7,22.3
(2005 RP6),Apollo Asteroid,57800,2.2802,0.5758,12.5233,287.251,351.067,132.8148,0.9673,3.59,3.44,0.1275,12,21.2
(2005 RQ6),Amor Asteroid,57800,2.5044,0.5513,12.4835,5.5022,36.185,301.2748,1.1236,3.89,3.96,0.1328,104,18.9
(2005 RV24),Apollo Asteroid,57800,1.5058,0.8819,36.2892,33.4021,166.4035,93.3312,0.1779,2.83,1.85,0.0733,9,20.6
(2005 RO33),Amor Asteroid,57800,1.9247,0.4089,7.3097,234.2315,112.5334,106.2177,1.1376,2.71,2.67,0.1638,27,20.1
(2005 RC34),Apollo Asteroid (Hazard),57800,2.0614,0.5128,10.7657,36.1466,290.9678,314.9956,1.0043,3.12,2.96,0.0409,55,19.7
(2005 RD34),Apollo Asteroid,57800,1.3266,0.2647,19.9216,102.0607,175.5593,227.0895,0.9755,1.68,1.53,0.1304,26,20.3
(2005 SC),Apollo Asteroid,57800,2.2566,0.6622,6.601,156.6683,281.0342,114.3997,0.7624,3.75,3.39,0.0729,17,20.2
(2005 SL),Apollo Asteroid,57800,1.1261,0.2988,6.168,289.9158,176.152,119.7214,0.7897,1.46,1.2,0.0255,9,22.9
(2005 SQ),Apollo Asteroid (Hazard),57800,1.655,0.5744,1.2002,294.7879,317.3184,172.5209,0.7044,2.61,2.13,0.0054,19,20.1
(2005 SO1),Apollo Asteroid,57800,2.1667,0.5774,5.2385,315.6038,358.8258,216.9763,0.9157,3.42,3.19,0.0059,8,25.4
(2005 SP1),Apollo Asteroid,57800,2.3897,0.6641,6.0176,110.8341,179.1517,47.8804,0.8026,3.98,3.69,0.0158,17,23.3
(2005 SQ1),Amor Asteroid,57800,1.7361,0.4119,6.4127,161.691,176.9954,1.8455,1.0211,2.45,2.29,0.0257,9,25.3
(2005 SS1),Apollo Asteroid,57800,1.98,0.5134,2.8826,143.1164,178.9332,43.9433,0.9634,3,2.79,0.007,8,26.1
(2005 SR4),Amor Asteroid,57800,2.1858,0.4745,6.8372,332.9821,357.7572,201.0878,1.1485,3.22,3.23,0.149,9,23.5
(2005 ST4),Amor Asteroid,57800,2.3584,0.5573,5.0211,230.468,169.4722,43.0705,1.044,3.67,3.62,0.0802,13,22.4
(2005 SV4),Apollo Asteroid,57800,2.3973,0.5968,8.1066,141.5613,173.5799,33.0987,0.9666,3.83,3.71,0.0236,9,22.7
(2005 SW4),Amor Asteroid,57800,2.7016,0.5382,6.851,65.0068,10.2446,185.0105,1.2476,4.16,4.44,0.2879,34,20.1
(2005 SX4),Amor Asteroid,57800,2.7274,0.5751,3.5408,250.1629,171.035,178.0095,1.1588,4.3,4.5,0.1826,64,20.4
(2005 SP9),Aten Asteroid,57800,0.8656,0.6238,27.747,228.0951,354.8488,128.9259,0.3256,1.41,0.81,0.0506,14,21.2
(2005 SQ9),Apollo Asteroid,57800,1.4436,0.3564,4.0436,280.4066,6.802,244.6321,0.9291,1.96,1.73,0.0384,13,22.9
(2005 SW9),Apollo Asteroid,53641,2.0592,0.5855,15.7321,194.4439,226.6912,346.6853,0.8536,3.26,2.95,0.1182,7,19.6
(2005 SJ19),Apollo Asteroid,53646,1.5664,0.382,18.4467,311.933,10.7418,21.5607,0.968,2.16,1.96,0.0524,8,24
(2005 SM25),Amor Asteroid,57800,2.1535,0.4874,6.817,148.6541,193.4293,222.3209,1.1038,3.2,3.16,0.1135,22,19.5
(2005 SG26),Apollo Asteroid,53645,2.4818,0.5943,5.9225,207.8085,184.9744,355.0008,1.0068,3.96,3.91,0.0313,8,25.9
(2005 SH26),Apollo Asteroid,57800,1.0975,0.3113,22.4089,35.8329,193.9905,77.0913,0.7558,1.44,1.15,0.1903,21,20.5
(2005 SJ26),Amor Asteroid,57800,2.4797,0.5833,3.5537,343.7307,39.0005,325.1562,1.0332,3.93,3.9,0.0411,10,23.9
(2005 SK26),Apollo Asteroid,57800,1.7887,0.466,2.1481,229.0544,172.3074,260.3989,0.9552,2.62,2.39,0.0116,7,25.5
(2005 SY70),Amor Asteroid,53646,2.2939,0.5425,1.4439,358.5763,19.102,358.1093,1.0494,3.54,3.47,0.0507,6,26.8
(2005 SZ70),Apollo Asteroid,57800,1.6216,0.4406,3.7162,118.1545,198.8222,203.0724,0.9071,2.34,2.07,0.017,12,24.4
(2005 SC71),Amor Asteroid,57800,1.9097,0.3827,32.3863,117.8537,196.5544,147.6021,1.1788,2.64,2.64,0.332,26,18.3
(2005 SD71),Amor Asteroid,57800,1.5433,0.303,5.1764,354.5385,40.8023,322.6268,1.0757,2.01,1.92,0.0836,16,23.2
(2005 TA),Apollo Asteroid,57800,1.2807,0.2503,2.7805,34.3927,13.9994,281.8587,0.9602,1.6,1.45,0.0015,8,27.2
(2005 TC),Amor Asteroid,53646,3.6879,0.7182,14.9214,321.9732,9.1469,4.7719,1.0393,6.34,7.08,0.098,7,23.7
(2005 TD),Apollo Asteroid,53647,1.4393,0.3212,24.5403,47.287,11.8382,335.5739,0.977,1.9,1.73,0.0549,9,23.5
(2005 TE),Apollo Asteroid,53646,1.7473,0.5769,6.487,270.5777,13.0723,26.8551,0.7393,2.76,2.31,0.0299,6,23.9
(2005 TF),Amor Asteroid,57800,1.964,0.4551,3.6259,43.4467,26.4579,27.709,1.0703,2.86,2.75,0.0946,105,20.2
(2005 TG),Amor Asteroid,57800,2.6675,0.5403,11.1096,190.9028,230.9238,218.3806,1.2263,4.11,4.36,0.2413,22,18.1
(2005 TL),Amor Asteroid,57800,2.3657,0.4579,5.1331,164.2642,182.9135,49.7356,1.2825,3.45,3.64,0.2777,10,21.2
(2005 TM),Aten Asteroid,53647,0.8412,0.417,5.2139,151.8927,8.6739,240.4818,0.4904,1.19,0.77,0.0235,7,24.7
(2005 TN),Amor Asteroid,57800,1.7658,0.301,16.857,313.3623,13.3019,327.1927,1.2343,2.3,2.35,0.2839,9,22.4
(2005 TP),Apollo Asteroid (Hazard),57800,2.2794,0.5877,7.8731,353.7418,86.4196,91.2808,0.9399,3.62,3.44,0.037,19,20.8
(2005 TR),Amor Asteroid,57800,1.5571,0.3031,11.8292,349.3113,16.071,309.1413,1.0851,2.03,1.94,0.089,17,23.1
(2005 TB15),Apollo Asteroid,57800,1.8123,0.7558,7.2907,139.0871,9.5491,185.0034,0.4426,3.18,2.44,0.0674,40,19.5
(2005 TF15),Apollo Asteroid,57800,2.2922,0.6553,15.9738,7.0706,76.2523,83.4074,0.7902,3.79,3.47,0.1817,17,19.5
(2005 TP15),Apollo Asteroid,53647,1.341,0.279,14.8281,143.311,187.1588,22.3025,0.9668,1.72,1.55,0.0078,5,25.2
(2005 TS15),Apollo Asteroid (Hazard),57800,1.2605,0.353,33.9982,106.0811,16.2308,300.3515,0.8156,1.71,1.42,0.0039,20,21.1
(2005 TE45),Amor Asteroid,57800,1.8359,0.3986,1.3654,200.3633,204.2738,190.2323,1.1041,2.57,2.49,0.1138,14,23.3
(2005 TF45),Amor Asteroid,57800,1.1563,0.0743,6.8206,37.1547,197.1568,187.4476,1.0704,1.24,1.24,0.0774,8,23.1
(2005 TH45),Apollo Asteroid,53651,1.2917,0.49,5.565,263.0257,13.3648,41.9535,0.6588,1.92,1.47,0.0078,7,26.3
(2005 TO45),Amor Asteroid,57800,2.5666,0.5206,17.0412,6.229,15.7602,269.7488,1.2303,3.9,4.11,0.2344,18,19.8
(2005 TP45),Amor Asteroid,57800,1.5511,0.2711,21.38,10.6007,13.7588,309.6437,1.1307,1.97,1.93,0.136,17,20.9
(2005 TQ45),Aten Asteroid,57800,0.8274,0.2327,25.632,185.8483,14.8934,206.2601,0.6349,1.02,0.75,0.0201,9,25.6
(2005 TR45),Amor Asteroid,57800,2.1687,0.51,7.3753,125.9227,179.7449,214.4454,1.0627,3.27,3.19,0.1049,15,18.8
(2005 TS45),Amor Asteroid,57800,2.3544,0.4547,2.9963,70.0396,301.0994,53.232,1.2838,3.42,3.61,0.2893,10,21.3
(2005 TD49),Apollo Asteroid,57800,2.684,0.6261,0.1125,191.847,196.3097,205.5053,1.0036,4.36,4.4,0.0088,11,26.4
(2005 TE49),Aten Asteroid,57800,0.9478,0.3646,4.7764,304.8041,195.0983,25.0823,0.6022,1.29,0.92,0.0086,6,26.7
(2005 TF49),Apollo Asteroid (Hazard),57800,1.0418,0.0254,24.5512,302.4786,25.7397,308.9362,1.0154,1.07,1.06,0.0319,60,19.1
(2005 TF50),Apollo Asteroid,57800,2.2722,0.8689,10.6993,159.9049,0.6658,89.7313,0.2979,4.25,3.43,0.1174,15,20.3
(2005 TG50),Aten Asteroid,57800,0.9235,0.1345,2.4012,200.9369,344.3838,119.3392,0.7992,1.05,0.89,0.0129,17,24.8
(2005 TH50),Aten Asteroid,53654,0.8378,0.2249,0.7303,18.1668,196.8354,153.6983,0.6494,1.03,0.77,0.0014,8,28
(2005 TK50),Apollo Asteroid,53652,2.2046,0.68,6.0727,74.4868,16.4335,346.3478,0.7054,3.7,3.27,0.0008,7,29.1
(2005 TR50),Apollo Asteroid (Hazard),57800,1.6144,0.4558,34.0625,49.2226,29.4781,167.7502,0.8785,2.35,2.05,0.0077,18,20.2
(2005 TU50),Apollo Asteroid (Hazard),57800,1.4262,0.5963,12.4219,259.5457,22.3048,269.7824,0.5757,2.28,1.7,0.0104,30,21.4
(2005 TC51),Apollo Asteroid,57800,1.0081,0.3056,5.6733,288.0535,199.2841,4.0516,0.6999,1.32,1.01,0.0039,5,27.3
(2005 TV51),Apollo Asteroid,57800,2.0267,0.5141,10.4949,23.2722,19.6277,328.6147,0.9847,3.07,2.89,0.0134,8,26.4
(2005 TY51),Amor Asteroid,57800,2.5932,0.5605,24.4062,3.4995,79.6143,254.9141,1.1396,4.05,4.18,0.1562,34,17.6
(2005 TM173),Apollo Asteroid,53653,2.9749,0.6865,1.2728,170.8682,243.1809,354.3397,0.9327,5.02,5.13,0.0075,6,24
(2005 UC),Amor Asteroid,57800,2.2893,0.513,5.6404,150.312,218.0607,97.5731,1.1149,3.46,3.46,0.1252,46,19.6
(2005 UE),Amor Asteroid,57800,2.3818,0.4627,5.3839,185.1762,233.4013,20.6243,1.2798,3.48,3.68,0.2925,39,20.4
(2005 UF),Apollo Asteroid,57800,1.6756,0.515,7.2837,244.4845,209.8392,57.818,0.8127,2.54,2.17,0.0045,5,26.1
(2005 UG),Amor Asteroid,57800,2.8096,0.6006,3.0222,1.9063,49.3957,141.174,1.1222,4.5,4.71,0.1334,13,23.6
(2005 UH),Apollo Asteroid,57800,1.6258,0.3809,6.324,307.6224,36.4264,187.2701,1.0065,2.25,2.07,0.0614,13,23.5
(2005 UL),Apollo Asteroid,57800,1.878,0.7172,7.8229,213.6695,291.3276,106.672,0.5312,3.22,2.57,0.103,20,19
(2005 UN),Apollo Asteroid,57800,1.41,0.2799,7.4116,357.3281,27.7188,280.406,1.0154,1.8,1.67,0.0207,8,25.9
(2005 UQ),Amor Asteroid,57800,2.23,0.5432,8.6934,337.0491,25.4943,150.6886,1.0188,3.44,3.33,0.0398,14,24
(2005 UR),Apollo Asteroid (Hazard),53669,2.2544,0.8821,6.9428,140.4744,20.0375,346.9703,0.2658,4.24,3.39,0.0335,11,21.6
(2005 UA1),Apollo Asteroid,57800,2.1216,0.6143,0.4312,72.7093,256.1439,253.2254,0.8183,3.42,3.09,0.0016,9,26.2
(2005 UC1),Amor Asteroid,53668,1.4658,0.2431,20.7307,89.4813,210.4464,62.6219,1.1094,1.82,1.77,0.2913,7,21.8
(2005 UE1),Aten Asteroid,57800,0.8929,0.1704,5.6512,139.7175,32.5828,18.6026,0.7408,1.05,0.84,0.0022,7,26.2
(2005 UF1),Amor Asteroid,57800,2.1848,0.4325,13.5921,1.3586,49.5186,173.106,1.2398,3.13,3.23,0.2508,19,20.5
(2005 UG1),Amor Asteroid,57800,1.9648,0.4329,29.5239,187.0896,206.9551,38.191,1.1142,2.82,2.75,0.1219,10,22.7
(2005 UH1),Apollo Asteroid,53669,1.6996,0.5971,11.8269,227.8158,32.747,64.1244,0.6848,2.71,2.22,0.1036,9,19.6
(2005 UJ1),Amor Asteroid,57800,1.9928,0.402,10.8721,274.677,68.0883,27.9626,1.1917,2.79,2.81,0.2771,11,20.4
(2005 UL1),Amor Asteroid,57800,1.3675,0.2309,18.3901,37.8633,35.7023,1.8109,1.0518,1.68,1.6,0.0974,9,23
(2005 UC3),Apollo Asteroid,53673,2.1781,0.5451,0.2517,329.8972,26.9666,10.4962,0.9908,3.37,3.21,0.0012,6,27.1
(2005 UE3),Amor Asteroid,57800,2.2507,0.4494,9.7742,330.6607,6.494,137.407,1.2393,3.26,3.38,0.2461,8,20.1
(2005 UF3),Amor Asteroid,57800,1.8592,0.3864,27.3426,221.1149,208.0682,148.6565,1.1408,2.58,2.54,0.214,8,21.8
(2005 UG3),Apollo Asteroid,53671,2.0239,0.5064,8.9136,200.4155,212.4331,355.1016,0.999,3.05,2.88,0.0225,8,25.5
(2005 UU3),Apollo Asteroid,57800,1.2827,0.478,13.9378,128.6021,36.4987,215.7574,0.6696,1.9,1.45,0.1428,14,22
(2005 UW3),Amor Asteroid,57800,1.1882,0.1357,18.0503,169.5513,213.6521,271.4828,1.027,1.35,1.3,0.0359,9,24.2
(2005 UF5),Amor Asteroid,53672,2.5447,0.5557,0.2633,22.5131,4.5898,1.341,1.1306,3.96,4.06,0.1347,7,24.3
(2005 UG5),Apollo Asteroid,57800,1.0556,0.1886,2.8441,112.0631,35.7701,57.0864,0.8564,1.25,1.08,0.0165,7,24.3
(2005 UH5),Apollo Asteroid,57800,1.2453,0.1853,21.3793,28.2143,34.1625,29.6841,1.0146,1.48,1.39,0.0404,7,25.4
(2005 UK5),Amor Asteroid,53672,1.4138,0.0841,2.5594,310.8258,19.531,55.7625,1.2949,1.53,1.68,0.2859,6,22.8
(2005 UM5),Apollo Asteroid,57800,1.2111,0.5523,3.2239,170.5869,84.894,263.3685,0.5422,1.88,1.33,0.0504,22,20.5
(2005 UN5),Amor Asteroid,57800,1.7997,0.4215,5.8,335.0263,37.2727,255.2426,1.0411,2.56,2.41,0.0563,7,24.4
(2005 UW5),Apollo Asteroid,57800,1.397,0.3949,2.9394,63.1036,35.1657,275.713,0.8453,1.95,1.65,0.0014,8,27.5
(2005 UX5),Apollo Asteroid,57800,1.7599,0.5772,19.646,264.6811,217.7469,273.7561,0.7441,2.78,2.33,0.0647,15,21.1
(2005 UY5),Amor Asteroid,57800,2.2266,0.4178,7.1327,261.9208,56.5768,197.1824,1.2964,3.16,3.32,0.3164,19,18.6
(2005 UZ5),Amor Asteroid,53673,1.4093,0.2423,19.4688,28.8496,36.4402,342.9629,1.0678,1.75,1.67,0.0982,11,23.6
(2005 UA6),Apollo Asteroid,57800,2.4135,0.624,5.744,310.6375,37.3108,12.3335,0.9075,3.92,3.75,0.0162,13,23.3
(2005 UL6),Apollo Asteroid,57800,2.5234,0.6187,0.2814,90.2101,266.2089,298.9532,0.9622,4.08,4.01,0.0043,15,24.5
(2005 US6),Apollo Asteroid,53673,1.5888,0.3999,1.7233,293.2468,40.0313,27.4733,0.9535,2.22,2,0.0163,6,24.8
(2005 UU6),Amor Asteroid,53674,2.4774,0.5035,16.8626,190.0954,212.7423,358.0287,1.2299,3.72,3.9,0.2402,7,22.9
(2005 UV6),Apollo Asteroid,53673,2.1423,0.5394,1.9109,202.0735,214.2235,354.9832,0.9867,3.3,3.14,0.0066,6,27.3
(2005 UW6),Apollo Asteroid (Hazard),57800,2.0431,0.7409,0.9132,180.919,334.3542,291.1822,0.5293,3.56,2.92,0.0157,14,21.8
(2005 UF7),Amor Asteroid,53674,2.4856,0.5875,0.9195,197.6844,209.9508,357.8352,1.0254,3.95,3.92,0.0351,6,26.5
(2005 UP64),Amor Asteroid,57800,2.6836,0.5806,23.7713,280.7999,202.4521,172.1404,1.1256,4.24,4.4,0.3698,29,19.6
(2005 UQ64),Apollo Asteroid,57800,1.6085,0.3684,5.1881,172.6468,202.4058,203.6044,1.016,2.2,2.04,0.0203,7,24.4
(2005 UR64),Amor Asteroid,57800,1.6977,0.3744,4.6635,42.3384,33.7509,21.0671,1.062,2.33,2.21,0.0921,13,23.6
(2005 US64),Apollo Asteroid,57800,1.1406,0.1443,37.1265,310.7396,36.1786,136.8304,0.976,1.31,1.22,0.0279,7,23
(2005 UT64),Apollo Asteroid (Hazard),57800,1.8215,0.5218,10.5041,327.3547,161.6327,179.7583,0.871,2.77,2.46,0.0463,17,20.1
(2005 UV64),Aten Asteroid,57800,0.9582,0.1161,5.4159,313.9402,216.0518,254.0136,0.8469,1.07,0.94,0.0264,6,26.5
(2005 UW64),Amor Asteroid,57800,2.2784,0.4763,5.4522,112.5759,210.5616,137.8238,1.1931,3.36,3.44,0.2053,15,19.2
(2005 UN157),Apollo Asteroid,57800,2.5159,0.8561,44.5379,209.9675,21.7135,337.3541,0.3619,4.67,3.99,0.4198,12,18.2
(2005 UO157),Amor Asteroid,57800,2.8093,0.5989,3.6484,167.8228,309.5382,120.3638,1.1268,4.49,4.71,0.1437,65,18.3
(2005 UJ159),Apollo Asteroid (Hazard),57800,3.3439,0.8318,35.4757,95.5209,80.6844,294.2762,0.5623,6.13,6.11,0.0374,33,17.6
(2005 VA),Amor Asteroid,57800,2.4765,0.5699,1.8267,169.1103,217.61,324.5485,1.0651,3.89,3.9,0.0703,12,23
(2005 VF),Apollo Asteroid,53677,2.0587,0.5076,4.9361,214.8324,213.9241,351.1721,1.0137,3.1,2.95,0.0468,6,24.7
(2005 VN),Apollo Asteroid,57800,2.0863,0.5545,10.7949,142.3326,219.1727,279.8055,0.9295,3.24,3.01,0.0077,17,22.9
(2005 VO),Apollo Asteroid,53678,2.4282,0.6633,0.5288,251.6078,207.1831,349.8977,0.8176,4.04,3.78,0.0025,6,27.9
(2005 VP),Apollo Asteroid,53678,2.3584,0.5931,5.506,134.0122,222.9605,9.9644,0.9597,3.76,3.62,0.03,5,25.6
(2005 VR),Apollo Asteroid,57800,1.9269,0.5222,34.9473,270.9067,49.9759,109.7654,0.9206,2.93,2.67,0.2822,19,20.8
(2005 VS),Apollo Asteroid,57800,1.3764,0.288,10.1426,149.4306,227.9711,10.6158,0.98,1.77,1.61,0.0179,15,22.2
(2005 VH1),Amor Asteroid,57800,2.9653,0.6177,6.9867,35.6844,45.1981,69.6512,1.1336,4.8,5.11,0.1642,13,23
(2005 VJ1),Amor Asteroid,57800,2.638,0.5272,11.2712,76.8779,330.8486,222.5758,1.2472,4.03,4.28,0.3302,14,19.9
(2005 VK1),Aten Asteroid,53679,0.741,0.4278,24.7262,358.5616,223.7284,174.3759,0.424,1.06,0.64,0.0665,7,22.6
(2005 VL1),Aten Asteroid,57800,0.8927,0.2251,0.2477,228.0835,37.8149,263.1446,0.6918,1.09,0.84,0.0001,17,27
(2005 VM1),Amor Asteroid,53682,1.4792,0.196,30.5216,342.4117,45.7597,13.1544,1.1892,1.77,1.8,0.2061,7,22.8
(2005 VN1),Apollo Asteroid,53679,1.3898,0.3216,13.1539,137.6045,220.4958,23.1098,0.9429,1.84,1.64,0.0115,5,25.1
(2005 VY1),Apollo Asteroid,57800,1.6736,0.4107,6.6058,18.199,45.0457,67.9114,0.9863,2.36,2.17,0.0091,12,26.4
(2005 VA2),Apollo Asteroid,57800,1.2077,0.3234,5.8216,356.6037,232.1368,343.7869,0.8172,1.6,1.33,0.097,12,21.1
(2005 VC2),Amor Asteroid,57800,2.768,0.5869,36.9067,167.1066,221.9032,161.6666,1.1435,4.39,4.61,0.1615,23,17.6
(2005 VT2),Apollo Asteroid,57800,2.3232,0.5655,6.1505,155.1048,200.4184,77.0208,1.0095,3.64,3.54,0.0291,13,22.6
(2005 VY3),Amor Asteroid,57800,1.672,0.3449,30.2253,255.1435,49.0554,141.0582,1.0953,2.25,2.16,0.2858,9,20.4
(2005 VZ3),Amor Asteroid,57800,2.1606,0.4791,27.981,46.2565,48.8396,179.1286,1.1254,3.2,3.18,0.2308,10,20.7
(2005 VN5),Aten Asteroid,57800,0.9454,0.2328,2.0625,116.1748,48.2254,7.0419,0.7253,1.17,0.92,0.0012,9,27
(2005 VO5),Apollo Asteroid (Hazard),57800,2.0089,0.5613,14.2439,242.0168,101.0065,4.03,0.8814,3.14,2.85,0.0396,21,19.8
(2005 VS5),Amor Asteroid,53683,1.9654,0.4647,18.191,302.175,38.7685,22.3054,1.052,2.88,2.76,0.1719,5,22
(2005 VB7),Amor Asteroid,57800,1.8019,0.3474,32.578,212.3215,241.4727,211.6041,1.1758,2.43,2.42,0.2305,18,19.5
(2005 VD7),Amor Asteroid,57800,2.3166,0.5607,5.1917,354.9908,27.8942,77.9646,1.0178,3.62,3.53,0.0231,9,22.4
(2005 VE7),Apollo Asteroid,57800,2.3313,0.717,7.5181,14.9127,287.1555,81.0126,0.6597,4,3.56,0.1186,19,18.4
(2005 VG7),Apollo Asteroid,57800,1.9956,0.5494,2.8796,327.5753,39.5264,8.9872,0.8992,3.09,2.82,0.0081,7,24.5
(2005 VR7),Apollo Asteroid (Hazard),57800,1.0829,0.2872,25.2484,101.0672,254.884,53.93,0.7719,1.39,1.13,0.0301,17,21.3
(2005 VT7),Apollo Asteroid,57800,1.741,0.4488,6.7987,345.5664,33.9929,334.7539,0.9596,2.52,2.3,0.0176,10,23
(2005 VO118),Amor Asteroid,53678,2.5472,0.5768,4.4584,342.3533,50.0052,2.5325,1.0779,4.02,4.07,0.0871,5,24.6
