Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2011 SO189,2056,2090,12,0.0001,12.98,26.5,0.017,-4.74,-5.15,0
1979 XB,2056,2113,5,9.9E-07,23.63,18.6,0.657,-2.75,-3.07,0
2013 PG10,2056,2113,7,8.3E-06,6.87,27.7,0.01,-6.56,-6.66,0
2012 EP10,2056,2115,39,9.5E-05,2.78,29.2,0.005,-6.45,-6.7,0
2011 UL169,2057,2073,6,1.4E-05,9.35,28.3,0.007,-6.45,-6.51,0
2017 BY93,2057,2079,6,3.4E-06,19.03,23.1,0.08,-4.29,-4.34,0
2015 BE511,2057,2103,5,6.4E-05,9.88,28.7,0.006,-6.08,-6.19,0
2009 JL2,2057,2113,10,3.6E-06,12.83,26,0.022,-5.99,-6.45,0
2014 HK197,2057,2115,16,3.3E-09,18.05,26.7,0.015,-9.28,-10.2,0
2009 CZ1,2058,2102,3,1.1E-06,17.81,24.4,0.044,-5.48,-5.63,0
2007 UD6,2058,2106,63,9E-05,5.99,28.3,0.007,-5.9,-6.79,0
2015 HE183,2058,2110,34,4.5E-06,13.75,28.3,0.008,-6.94,-7.42,0
2009 FJ,2058,2111,5,1.4E-06,8.94,24.9,0.036,-5.86,-5.93,0
2014 SR261,2058,2111,7,5.4E-06,15.27,26.8,0.015,-6.01,-6.08,0
2011 SM173,2058,2112,10,5.3E-05,14.25,27.8,0.009,-5.5,-5.53,0
2012 XB112,2058,2114,18,0.00013,4.15,29.8,0.004,-6.35,-6.37,0
2009 BR5,2059,2078,3,2.7E-07,18,22.1,0.13,-5.08,-5.15,0
2006 XZ2,2059,2102,4,3.1E-07,9.06,27.1,0.013,-7.68,-7.81,0
2015 SK7,2059,2107,5,7.3E-07,12.18,28.8,0.006,-8.08,-8.41,0
2007 FP3,2059,2111,11,2.2E-06,9.65,28.4,0.007,-7.54,-7.86,0
2013 NE24,2059,2112,13,5.4E-06,10.83,27.4,0.011,-6.61,-6.93,0
2008 FF5,2060,2060,1,5.2E-07,39.47,23.1,0.081,-4.68,-4.68,0
2013 NH6,2060,2060,1,2.6E-08,21.71,23.4,0.073,-6.46,-6.46,0
2012 SG58,2060,2060,1,2E-08,15.89,23.1,0.083,-6.59,-6.59,0
2014 DK10,2060,2060,1,3.6E-08,11.83,27.8,0.01,-8.71,-8.71,0
2009 YR,2060,2087,6,8.7E-06,3.12,28,0.009,-6.74,-7.14,0
99942 Apophis (2004 MN4),2060,2105,12,8.9E-06,5.85,19.1,0.37,-2.83,-2.93,0
2006 SR131,2060,2113,38,3.4E-05,8.46,28,0.009,-6.18,-6.98,0
2010 NN,2060,2115,29,3.2E-05,7.74,28.3,0.007,-6.3,-6.67,0
2006 BO7,2060,2115,3,1.1E-06,9.83,29.3,0.005,-8.07,-8.26,0
2014 GN1,2061,2061,1,2.1E-05,21.23,24.6,0.041,-4.17,-4.17,0
2013 UJ5,2061,2061,1,1.1E-07,10.81,28,0.009,-8.37,-8.37,0
2015 TL21,2061,2094,3,2.5E-06,15.32,26.4,0.017,-6.21,-6.36,0
2008 CJ,2061,2106,2,9.5E-07,8.06,27.3,0.012,-7.5,-7.5,0
1993 HP1,2061,2112,9,1.6E-06,9.85,26.9,0.014,-6.87,-7.08,0
2013 GW38,2061,2113,13,6.4E-06,10.26,28.5,0.007,-7.05,-7.66,0
2009 BE,2061,2114,26,0.00065,11.46,26.1,0.02,-3.86,-4.15,0
2006 UQ216,2061,2115,7,3.3E-06,3.73,27.3,0.012,-7.02,-7.22,0
2007 VE8,2062,2062,1,2.2E-05,9.05,25.4,0.028,-4.92,-4.92,0
2012 HB25,2062,2062,1,6.7E-09,8.95,24.9,0.035,-8.2,-8.2,0
2010 CR5,2062,2075,3,7.6E-08,23.6,19.8,0.372,-4.25,-4.28,0
2008 EX5,2062,2083,11,2.7E-05,9.92,23.8,0.059,-4.13,-4.43,0
2007 EE126,2062,2092,4,5.7E-08,30.8,25.6,0.025,-7.13,-7.44,0
2011 CA7,2062,2092,7,9E-07,8.91,30.3,0.003,-8.67,-8.88,0
2010 TW149,2062,2113,42,8.6E-06,17.04,25.9,0.023,-5.53,-5.97,0
2016 CG18,2062,2116,53,0.00014,4.25,28.5,0.007,-5.87,-6.13,0
2014 SR223,2063,2063,1,2.2E-06,15.23,26.8,0.015,-6.39,-6.39,0
2008 EA9,2063,2084,9,2.6E-05,1.24,27.7,0.01,-6.24,-6.8,0
2012 BG96,2063,2098,9,2.4E-09,8.68,18.9,0.57,-5.9,-6.69,0
2016 JA,2064,2103,10,4.5E-07,7.6,27.5,0.011,-7.8,-8.37,0
2002 GM5,2064,2113,2,1.3E-07,20.38,21.4,0.179,-4.91,-4.92,0
2012 XK134,2065,2065,1,1.1E-07,4.95,26.4,0.018,-7.84,-7.84,0
2010 XU,2065,2065,1,1.5E-10,6.22,25.4,0.029,-10.17,-10.2,0
2007 RC20,2065,2106,2,3.7E-09,5.12,26.7,0.016,-9.66,-9.7,0
2011 DS,2065,2108,13,1.4E-05,6.54,27,0.013,-6.11,-6.36,0
2015 RN35,2065,2111,9,1.2E-05,5.72,23,0.085,-4.24,-4.43,0
2008 WO2,2065,2111,10,5.3E-05,6.11,29.8,0.004,-6.93,-7.28,0
2007 UT3,2065,2115,5,2.8E-07,9.05,25.7,0.024,-7.08,-7.4,0
2009 ST171,2066,2066,1,1.1E-06,9.83,26.8,0.015,-6.92,-6.92,0
2012 XL55,2066,2066,1,4.9E-08,19.09,27,0.013,-8.08,-8.08,0
2014 KC45,2066,2102,4,1.5E-06,8.92,29.4,0.004,-8.25,-8.28,0
2010 TN55,2066,2111,21,2.8E-06,25.37,27,0.014,-6.33,-6.88,0
2015 FU344,2066,2111,13,1.4E-05,9.92,31,0.002,-7.79,-7.94,0
2010 UY7,2066,2115,45,0.00023,3.87,28.5,0.007,-5.75,-6.19,0
2012 PB20,2066,2115,8,2.7E-06,4.03,24.9,0.035,-6.02,-6.36,0
2016 SR2,2066,2116,17,5.7E-05,5.95,26.3,0.019,-5.27,-5.48,0
2015 XP,2067,2067,1,1.2E-06,8.23,25.8,0.024,-6.43,-6.43,0
2011 QF48,2067,2067,2,2E-07,19.93,25.3,0.03,-6.6,-6.87,0
2008 BN16,2067,2083,3,4E-08,18.98,25.9,0.023,-7.7,-7.87,0
2009 EJ1,2067,2086,3,1E-07,10.63,28.2,0.008,-8.64,-8.78,0
2007 CC27,2067,2105,40,8E-05,10.88,26.9,0.014,-5.15,-5.65,0
2013 BR27,2067,2106,42,3E-05,10.95,27.7,0.01,-6.02,-6.44,0
2009 WP6,2067,2114,63,3.8E-05,25.34,26.8,0.015,-5.01,-5.3,0
2009 TH8,2068,2100,4,1.2E-05,13.03,24.9,0.036,-5.04,-5.13,0
2006 HF6,2068,2110,22,8.9E-06,16.4,24.5,0.043,-4.73,-5.27,0
2008 TS10,2068,2114,19,2.8E-05,3.18,28.8,0.006,-6.77,-7.61,0
2012 DJ54,2068,2115,32,0.0002,5.43,28.5,0.007,-5.71,-6,0
2016 FE15,2068,2116,3,6.2E-07,12.21,28.8,0.006,-8.11,-8.24,0
2016 DK2,2069,2069,1,7.5E-07,17.57,29.1,0.005,-7.93,-7.93,0
2005 XA8,2069,2086,21,9.1E-05,12.08,25.6,0.025,-4.43,-4.54,0
2015 VP64,2069,2105,5,3.1E-06,20.96,28.3,0.007,-6.99,-7,0
2012 TP20,2069,2107,4,5.3E-07,7.31,27.8,0.009,-7.85,-8.07,0
2000 SG344,2069,2113,104,0.0022,1.36,24.8,0.037,-2.93,-3.26,0
2012 AP10,2069,2114,81,0.00011,3.57,26.4,0.018,-5.01,-5.7,0
2014 JR24,2069,2115,38,0.0012,3.72,29.3,0.005,-5.26,-5.27,0
2010 UK,2069,2115,20,2.3E-05,6.11,26.9,0.014,-5.81,-6.02,0
2009 WW7,2069,2115,30,2.2E-05,8.2,28.9,0.006,-6.81,-6.94,0
2011 EB,2070,2077,3,5.3E-05,10.31,26.9,0.014,-5.33,-5.37,0
2012 UU158,2070,2078,2,1.9E-06,12.28,26.9,0.014,-6.66,-6.68,0
2014 HT197,2070,2090,3,1.1E-07,17.18,28.5,0.007,-8.53,-8.81,0
2013 BL18,2070,2092,5,2.4E-05,14.19,26,0.022,-5.16,-5.27,0
2012 TV,2070,2096,12,2E-06,16.66,25.2,0.031,-5.72,-6.1,0
2000 SZ162,2070,2096,2,3.8E-07,4.17,27.1,0.013,-7.7,-7.75,0
2009 FQ32,2070,2104,5,5.2E-08,4.75,26.8,0.015,-8.49,-8.93,0
2002 MN,2070,2109,13,6.1E-06,10.37,23.3,0.073,-4.59,-5.04,0
2012 EK5,2070,2111,14,3.7E-05,15.13,25.5,0.026,-4.77,-5.03,0
2011 MX,2070,2113,21,3.2E-05,12.19,26.9,0.014,-5.51,-6,0
2013 GA55,2070,2114,23,3.9E-05,9.34,27.7,0.01,-6.04,-6.21,0
2015 TC25,2070,2115,13,0.00013,3.52,29.5,0.004,-6.45,-6.49,0
2014 OP2,2071,2079,3,1.7E-06,11.63,29.1,0.005,-7.8,-7.92,0
2013 VW13,2071,2084,9,0.00044,16.35,26.2,0.019,-3.92,-4.09,0
2010 JH110,2071,2092,3,5.6E-05,8.08,26.3,0.019,-5.17,-5.37,0
2007 UN12,2071,2111,32,0.00029,1.57,28.7,0.006,-5.8,-6.57,0
2014 UY57,2071,2111,2,1.2E-07,9.03,27.2,0.012,-8.2,-8.32,0
2004 PU42,2071,2114,25,8.3E-05,10.11,26.8,0.015,-5.13,-5.7,0
2016 VB1,2071,2115,73,0.0012,5.45,28.6,0.006,-5.02,-5.48,0
2013 QM48,2071,2115,17,4E-06,7.47,27.4,0.011,-6.93,-7.5,0
2016 LE10,2072,2072,2,3.3E-08,12.63,27.1,0.013,-8.51,-8.76,0
2016 FA14,2072,2077,2,1.5E-06,15.24,27.4,0.011,-6.92,-6.93,0
2010 TD,2072,2091,5,2.7E-06,18.86,26.9,0.014,-6.34,-6.75,0
2016 AF2,2072,2093,3,3.1E-07,5.87,27.8,0.009,-8.09,-8.1,0
2008 BC15,2072,2094,2,8.7E-07,20.64,26.6,0.016,-6.73,-6.89,0
2008 EZ84,2072,2114,10,0.00022,7.91,26.2,0.02,-4.39,-4.68,0
2004 VM24,2072,2114,20,1.5E-05,12.86,25.7,0.025,-5.26,-5.72,0
2014 TL,2072,2114,6,9.1E-06,10.72,27.8,0.009,-6.66,-6.82,0
2016 WT,2072,2115,36,2.3E-05,10.71,29.7,0.004,-7.2,-8.08,0
1997 UA11,2073,2073,1,4.4E-07,11.96,25.1,0.032,-6.48,-6.48,0
2015 FF36,2073,2073,1,1.2E-06,8.54,26.5,0.017,-6.82,-6.82,0
2010 LV108,2073,2073,1,6E-10,9.06,22.3,0.12,-8.09,-8.09,0
2016 SK2,2073,2081,4,2.1E-06,13.64,25.3,0.029,-5.88,-5.91,0
2006 JY26,2073,2110,48,0.0097,2.98,28.4,0.007,-3.93,-3.93,0
2007 EO88,2073,2111,8,8.9E-06,10.95,26.4,0.018,-5.97,-6.49,0
2009 SH1,2073,2113,24,7E-08,5.57,29.9,0.004,-9.91,-10.4,0
2013 RS43,2073,2114,27,1.3E-05,5.69,27,0.013,-6.26,-7.04,0
2009 FP32,2073,2115,18,6.9E-06,15.06,27.8,0.01,-6.57,-7.2,0
2010 VQ139,2074,2078,2,3.4E-10,8.03,26.4,0.018,-10.32,-10.5,0
2010 JH80,2074,2082,2,3.2E-06,26.9,24.5,0.042,-4.98,-4.99,0
2014 GY44,2074,2083,3,3.4E-06,12.32,25.4,0.028,-5.75,-5.9,0
2007 TL16,2074,2092,10,9.1E-06,11.43,26.2,0.019,-5.8,-5.91,0
2012 VV76,2074,2094,2,4.8E-08,14.69,25.6,0.026,-7.69,-7.76,0
2012 BN123,2074,2110,4,3.2E-09,10.13,23.2,0.078,-7.82,-8.13,0
2006 HE2,2074,2111,4,8.3E-07,5.02,26.5,0.017,-7.16,-7.4,0
2008 ST7,2074,2112,24,2.6E-05,9.98,24.1,0.052,-4.42,-4.77,0
2000 SB45,2074,2113,98,0.00015,7.53,24.3,0.046,-3.8,-4.3,0
2016 TY55,2074,2114,16,1.9E-05,4.61,26.9,0.014,-5.99,-6.23,0
2014 MB6,2075,2075,1,1.4E-08,13.07,26.2,0.019,-8.49,-8.49,0
2009 EW,2075,2081,4,1.8E-06,12.83,26.4,0.018,-6.48,-6.68,0
2014 WA201,2075,2084,8,0.00013,11.57,26.8,0.015,-4.85,-4.85,0
2015 UH52,2075,2101,3,1.1E-06,11.19,26,0.022,-6.59,-6.85,0
2003 YS70,2075,2107,2,7.7E-06,3.16,28.8,0.006,-7.44,-7.48,0
2000 LG6,2075,2115,52,0.00099,2.11,29,0.005,-5.37,-5.86,0
2014 QF33,2076,2076,1,3.4E-08,23.29,23.7,0.06,-6.63,-6.63,0
2014 FX32,2076,2108,3,3.1E-06,9.05,25.1,0.033,-5.71,-5.71,0
2016 RR1,2076,2113,27,0.0002,6.75,27.8,0.009,-5.42,-5.64,0
2004 VZ14,2076,2114,4,2.1E-06,15.26,25.3,0.03,-5.92,-6.39,0
2015 ET,2076,2114,9,2.6E-06,11.63,26.7,0.016,-6.58,-7.22,0
2016 WG,2076,2115,22,5.5E-06,23.6,23.3,0.074,-4.25,-4.91,0
2012 YR1,2077,2077,1,5.6E-07,7.84,26.5,0.017,-7.2,-7.2,0
2007 VF189,2077,2077,1,3.5E-08,11.47,28.4,0.007,-9.17,-9.17,0
2012 RU16,2077,2089,2,1.1E-07,8.66,25.6,0.026,-7.48,-7.64,0
2008 HJ,2077,2114,22,0.00023,7.53,25.7,0.024,-4.35,-4.81,0
2016 TH,2077,2115,30,2.2E-05,7.4,29.4,0.004,-7.09,-7.76,0
2008 UA92,2078,2078,1,1.3E-06,8.38,27.3,0.012,-7.21,-7.21,0
2012 CQ46,2078,2103,4,1.5E-09,13.01,27.2,0.012,-10.04,-10.4,0
2006 UJ185,2078,2105,3,1.2E-06,15.46,27.9,0.009,-7.47,-7.48,0
2013 CY,2078,2106,5,2.5E-06,2.42,28.2,0.008,-7.57,-7.92,0
2014 QN266,2078,2109,3,2.1E-06,2.85,26.2,0.019,-6.6,-6.66,0
2007 XB23,2078,2114,9,6.6E-07,4.58,27.1,0.013,-7.52,-7.8,0
2014 QC391,2078,2115,37,5.9E-05,7.61,27.5,0.011,-5.77,-6.14,0
2006 QN111,2079,2079,1,2.1E-06,10.55,23.8,0.06,-5.24,-5.24,0
2010 UR7,2079,2086,3,2E-06,13.34,27.4,0.011,-6.94,-7.08,0
2008 CM74,2079,2100,6,2.4E-06,4.07,28,0.008,-7.49,-7.95,0
2014 JU15,2079,2114,71,5.4E-05,10.34,24.7,0.039,-4.35,-5.07,0
2009 TM8,2079,2114,136,7.7E-05,7.96,28.6,0.007,-6.18,-7.39,0
2007 US51,2079,2114,8,6.7E-06,15.29,27.2,0.012,-6.34,-6.66,0
2001 SD286,2080,2080,1,5.2E-08,12.56,25.2,0.03,-7.49,-7.49,0
2002 AN129,2080,2080,1,2E-08,11.35,26.1,0.021,-8.34,-8.34,0
2008 GF1,2080,2080,1,9.7E-08,14.61,28.3,0.007,-8.61,-8.61,0
2015 PS228,2080,2102,3,2.9E-06,2.55,28.9,0.005,-7.81,-7.87,0
2014 EU,2080,2107,5,7.7E-06,5.64,27.7,0.01,-6.72,-6.77,0
2009 OW6,2080,2115,2,4.9E-06,6.65,25.3,0.029,-5.81,-6.01,0
2015 WP2,2080,2115,24,0.0001,12.62,30.1,0.003,-6.56,-6.98,0
2015 MN11,2081,2081,1,2.2E-09,21.06,24.5,0.042,-8.27,-8.27,0
2012 WR10,2081,2096,3,7.7E-07,2.73,28.5,0.007,-8.21,-8.4,0
2013 FU13,2081,2098,3,3.2E-05,5.74,27.2,0.012,-5.88,-6.09,0
2012 XM16,2081,2107,2,2.1E-06,12.68,25.8,0.024,-6.16,-6.25,0
2005 AU3,2081,2114,24,1.2E-05,14.4,26,0.021,-5.55,-6.18,0
2012 VS76,2081,2114,9,1.3E-05,11.48,26.9,0.014,-6,-6.27,0
2016 JA6,2081,2115,8,4E-06,11.34,26.4,0.018,-6.29,-6.47,0
2007 TC14,2082,2082,1,1.2E-07,25.55,22.1,0.13,-5.3,-5.3,0
2016 FC1,2082,2088,4,3.4E-06,15.19,29.1,0.005,-7.47,-7.64,0
2006 YE,2082,2089,2,1.6E-06,6.05,27.3,0.012,-7.24,-7.25,0
2016 TQ54,2082,2113,9,1.8E-06,9,27.2,0.012,-7.15,-7.64,0
2010 FN,2082,2114,5,2.3E-06,6.78,26.6,0.016,-6.71,-6.96,0
2011 FQ16,2082,2114,4,6.4E-07,7.99,27.7,0.01,-7.87,-8.02,0
2012 WS3,2082,2115,31,7.3E-06,8.79,25.9,0.022,-5.91,-6.85,0
2011 BF40,2083,2083,1,1.9E-06,18.5,24.8,0.037,-5.58,-5.58,0
2012 QV17,2083,2083,1,2.5E-08,10.87,25,0.033,-7.77,-7.77,0
2008 EF32,2083,2083,1,6.5E-08,13.11,29.4,0.005,-9.39,-9.39,0
2014 HH196,2083,2109,2,3E-09,11.21,28.2,0.008,-10.21,-10.2,0
2012 DW60,2083,2115,14,4.1E-05,5.4,26.5,0.017,-5.45,-5.54,0
2016 WQ1,2084,2084,1,8.1E-08,7.67,27.9,0.009,-8.74,-8.74,0
2009 WZ53,2084,2094,3,8.3E-10,18.97,24.1,0.052,-8.58,-8.74,0
2016 TT,2084,2095,3,4.5E-07,11.59,26,0.021,-6.98,-6.99,0
2002 VU17,2084,2099,5,9.3E-06,13.69,24.8,0.038,-5.06,-5.49,0
2008 EF85,2084,2110,3,1.6E-07,9.53,26.7,0.016,-7.96,-8,0
2002 TY59,2084,2114,3,2.5E-05,8.22,25.4,0.028,-5.21,-5.45,0
2006 WZ184,2084,2114,27,1.1E-05,7.26,26.1,0.021,-5.85,-6.77,0
2008 GM2,2084,2114,35,2.3E-05,4.61,28.4,0.007,-6.69,-7.39,0
2009 XQ2,2084,2114,2,2.6E-10,26.18,24.1,0.051,-8.98,-9.21,0
2016 NK22,2084,2115,85,0.0007,6.88,28.9,0.005,-5.47,-5.67,0
2012 SU9,2084,2115,5,1.3E-06,10.88,27.2,0.012,-7.24,-7.33,0
2017 BK30,2085,2085,2,1.4E-07,9.95,27.2,0.012,-8.11,-8.26,0
2015 XQ129,2085,2085,1,5.3E-10,15.3,24.4,0.044,-9.04,-9.04,0
2008 XC1,2085,2088,2,1.2E-07,11.66,23.7,0.063,-6.42,-6.47,0
2014 HB177,2085,2099,3,2.6E-06,6.08,28.3,0.007,-7.49,-7.57,0
2010 FD,2085,2104,2,1.4E-06,9.79,26,0.021,-6.57,-6.6,0
2008 YV32,2085,2107,9,4.3E-06,8.79,26.4,0.018,-6.32,-6.8,0
2015 VL64,2085,2109,7,2.8E-06,8.68,28.3,0.007,-7.46,-8.02,0
2010 RM80,2085,2115,21,1.1E-05,5.36,27.9,0.009,-6.84,-7.25,0
2016 XL23,2086,2086,1,8.2E-07,9.91,29.3,0.005,-8.34,-8.34,0
2004 BN41,2086,2098,2,5.2E-07,7.58,25.8,0.024,-6.98,-7.07,0
2014 UD57,2086,2108,4,7E-06,8.72,25.8,0.023,-5.81,-5.9,0
2016 EG28,2086,2108,3,2.1E-06,14.67,27.8,0.009,-7.17,-7.28,0
2016 TQ18,2086,2110,3,6.9E-06,9.59,26.3,0.018,-6.13,-6.16,0
2009 TU,2086,2111,6,2.1E-05,15.15,27.4,0.011,-5.87,-6.32,0
2012 BW13,2086,2111,10,2E-06,11.69,27.2,0.012,-7.03,-7.41,0
2013 XS21,2086,2111,9,3.3E-06,7.52,29.4,0.004,-7.95,-8.26,0
2011 VG9,2086,2114,6,3.2E-07,24.79,22.2,0.121,-5.04,-5.44,0
2012 BU1,2086,2114,20,0.00011,8.97,27.7,0.01,-5.56,-5.99,0
2002 UV36,2087,2087,1,9.7E-06,8.06,26.7,0.016,-6.09,-6.09,0
2007 EZ25,2087,2087,1,7.9E-08,20.73,25.6,0.026,-7.27,-7.27,0
2010 GM23,2087,2114,29,5.5E-05,13.44,24.7,0.04,-4.31,-4.94,0
2015 VN64,2088,2096,3,7.1E-07,15.86,27.5,0.01,-7.41,-7.58,0
2007 EV,2088,2109,5,5E-06,10.58,25,0.033,-5.59,-5.78,0
2010 NH,2089,2092,2,1.5E-06,10.29,25.7,0.025,-6.38,-6.43,0
2010 CK19,2089,2107,4,8.7E-07,5.01,27.9,0.009,-7.83,-8.22,0
2014 KS76,2089,2107,2,9.6E-08,7.18,26.6,0.016,-8.13,-8.25,0
2016 WU,2089,2110,3,2.4E-06,7.05,27.3,0.012,-7.14,-7.15,0
2011 BU59,2089,2113,11,8.5E-06,11.34,26.2,0.02,-5.88,-6.05,0
2017 BD6,2090,2090,1,1E-09,9.28,28.6,0.007,-10.95,-11,0
2016 JB29,2090,2090,1,2.3E-07,8.56,24.7,0.039,-6.78,-6.78,0
2008 YC3,2090,2092,2,8.3E-09,6.24,25.4,0.029,-8.6,-8.66,0
2015 CL13,2090,2106,4,9.4E-08,13.69,25.7,0.025,-7.49,-7.73,0
2015 UR67,2091,2091,1,4.9E-06,11.63,26.3,0.019,-6.12,-6.12,0
2014 HO197,2091,2091,1,2.2E-10,14.63,26,0.021,-10.24,-10.2,0
2008 DA4,2091,2100,2,4.2E-07,11.13,23.9,0.056,-6.09,-6.28,0
2008 KT,2091,2107,4,2.9E-07,3,28.2,0.008,-8.55,-8.8,0
2008 JL24,2091,2109,2,4.3E-07,2.7,29.6,0.004,-8.99,-9.05,0
2016 WY,2091,2114,11,9.7E-05,3.24,29.2,0.005,-6.49,-6.6,0
2016 JB18,2091,2116,14,8.1E-05,3.25,27.5,0.011,-5.72,-5.75,0
2006 CM10,2092,2092,1,2.4E-08,22.34,21.7,0.15,-5.94,-5.94,0
2013 RZ53,2092,2103,8,1.3E-05,1.25,31.1,0.002,-8.32,-8.7,0
2016 EP84,2092,2106,6,3.6E-05,2.33,27.4,0.011,-6.03,-6.08,0
2010 TW54,2092,2107,7,4.2E-06,7.77,27.6,0.01,-6.94,-7.43,0
2006 BF56,2092,2110,11,7.9E-06,26.18,29.6,0.004,-7.16,-7.59,0
2015 XH55,2092,2110,5,1.4E-06,7.14,29.2,0.005,-8.22,-8.49,0
2015 XA378,2092,2115,19,5.3E-05,17.9,25.5,0.027,-4.61,-4.82,0
2016 GK2,2092,2116,8,4.6E-05,9.12,27.8,0.009,-5.95,-6.14,0
2011 DV10,2093,2093,1,9.3E-07,16.27,24.8,0.038,-5.97,-5.97,0
2003 UQ25,2093,2093,2,2.2E-07,18.01,24.2,0.049,-6.27,-6.28,0
2016 TM,2093,2100,2,3.9E-07,4.33,27.5,0.011,-8.04,-8.07,0
2008 CB6,2093,2107,2,9.6E-06,7.43,27.1,0.013,-6.38,-6.53,0
2015 EG7,2093,2110,3,3.2E-08,12.8,27.4,0.011,-8.8,-8.85,0
2011 UC64,2093,2114,25,1.9E-05,14.05,27.9,0.009,-6.31,-6.78,0
2009 WQ25,2094,2094,1,9.2E-08,16.94,23.9,0.055,-6.57,-6.57,0
2012 HE31,2094,2094,1,8.8E-08,10.6,25.7,0.024,-7.64,-7.64,0
2007 EN88,2094,2104,3,1E-06,12.16,26.4,0.017,-6.91,-7.06,0
2013 AB65,2094,2113,8,6.7E-06,24.42,27.6,0.01,-6.35,-6.49,0
2001 SB170,2095,2095,1,1E-08,22.48,22.4,0.11,-6.66,-6.66,0
2013 UO5,2095,2095,1,1.3E-10,10.26,23.4,0.07,-9.38,-9.38,0
2016 WN7,2095,2100,3,3.1E-06,6.16,27.9,0.009,-7.27,-7.3,0
2012 CL17,2095,2112,18,1.4E-06,21.54,25.7,0.024,-6.15,-6.75,0
2009 HC,2095,2113,5,3.6E-06,3.72,24.8,0.038,-5.81,-6.13,0
2010 RF12,2095,2115,52,0.065,5.1,28.4,0.007,-3.2,-3.2,0
2014 YN,2095,2115,22,6.1E-05,3.27,25.7,0.024,-5.06,-5.66,0
1997 TC25,2096,2096,1,3E-07,9.89,24.7,0.039,-6.66,-6.66,0
2009 MU,2096,2096,1,6.8E-09,13.27,24.5,0.042,-8.11,-8.11,0
2013 PS13,2096,2105,2,1.3E-06,17.26,27.3,0.012,-7.05,-7.1,0
2010 GV23,2096,2105,2,6.9E-08,5.42,27.6,0.01,-8.84,-9.02,0
2015 YM1,2096,2115,6,7.6E-06,6.81,28.4,0.007,-7.1,-7.19,0
2016 TG94,2096,2116,16,1.5E-05,8.74,29.7,0.004,-7.4,-7.77,0
2011 AK37,2097,2097,1,6E-06,11.87,25.2,0.031,-5.51,-5.51,0
2016 FX13,2097,2097,1,2.2E-09,13.98,26.7,0.016,-9.6,-9.6,0
2015 KH160,2097,2107,2,1.8E-08,29.2,26.4,0.018,-8.24,-8.25,0
2016 EL1,2097,2109,3,2.7E-07,19.79,27.8,0.009,-7.96,-8.29,0
2011 SE191,2098,2098,1,7.2E-09,14.57,25.1,0.033,-8.32,-8.32,0
2014 MG68,2098,2098,1,2E-10,14.37,22.6,0.1,-8.7,-8.7,0
2014 HD199,2098,2098,1,1.2E-10,17.01,24.5,0.042,-9.76,-9.76,0
2004 FH,2098,2107,4,5.1E-06,6.97,26.1,0.02,-6.26,-6.53,0
2016 YC13,2098,2110,2,3.2E-10,13,26.7,0.015,-10.52,-10.8,0
2015 HE1,2098,2110,2,2.5E-07,14.6,27,0.013,-7.71,-7.89,0
2007 WP3,2098,2114,21,8.2E-06,13.03,23.5,0.067,-4.6,-4.99,0
2005 GV190,2099,2099,1,1.2E-10,9.25,18,0.87,-6.84,-6.84,0
2013 VJ13,2099,2099,1,8.9E-10,16.09,23.8,0.06,-8.55,-8.54,0
2014 HM198,2099,2104,2,4.4E-10,9.54,27.4,0.011,-10.82,-11,0
2005 TA,2099,2114,14,1.8E-05,4.8,27.2,0.012,-6.29,-6.64,0
2010 GH7,2099,2115,38,0.00011,5.05,27.3,0.012,-5.53,-5.98,0
2017 BE30,2100,2100,1,1.1E-07,16.69,26.3,0.018,-7.69,-7.69,0
2005 CC37,2100,2100,1,2.4E-08,8.45,22.7,0.099,-6.85,-6.85,0
2004 OD4,2100,2100,1,6.8E-08,8.45,26.9,0.014,-8.43,-8.43,0
2012 UL171,2100,2100,1,4.2E-10,3.79,27,0.013,-10.8,-10.8,0
2011 UM169,2100,2107,19,1.7E-05,13.95,25,0.033,-4.97,-5.25,0
2015 YC1,2100,2108,4,1.5E-06,8.16,26.1,0.021,-6.69,-6.98,0
2016 CH30,2100,2112,4,8.9E-06,5.46,28,0.009,-6.92,-6.97,0
2011 OB26,2100,2115,17,4.4E-05,11,25.6,0.026,-4.92,-5.13,0
2016 WR55,2100,2115,9,3.2E-06,14.12,28.3,0.007,-7.32,-7.62,0
2014 OM207,2101,2101,2,0.00022,8.2,29.1,0.005,-5.98,-5.98,0
1991 VG,2101,2101,1,4.6E-05,1.02,28.4,0.007,-6.46,-6.46,0
2012 UU68,2101,2101,1,8.3E-09,6.89,23.1,0.082,-7.55,-7.55,0
2007 WT3,2101,2101,1,8.6E-10,19.92,24.1,0.051,-8.64,-8.64,0
2012 VZ19,2101,2101,2,4.5E-10,7.92,25.6,0.025,-10,-10.2,0
443104 (2013 XK22),2101,2102,2,1.9E-05,6.9,24.2,0.05,-4.69,-4.69,0
2007 EH26,2101,2103,2,2.7E-08,20.19,24.2,0.049,-7.2,-7.2,0
2005 UC3,2101,2109,2,3.1E-07,7.81,27.1,0.013,-7.9,-8.03,0
2002 XV90,2101,2114,4,1.7E-08,7.61,25.2,0.031,-8.28,-8.54,0
